AW,PC,AWPC,DAW,DPC,DAWPC
          NA,1.0000000000,1.0000000000,0.0034251843,0.0109982353,0.2617253164
          NA,          NA,1.0000000000,0.0026600275,0.0001075893,0.1046066767
          NA,          NA,          NA,0.0039811508,0.0042461342,0.1222447266
          NA,          NA,          NA,          NA,1.0000000000,0.7445733659
          NA,          NA,          NA,          NA,          NA,0.1167110101
          NA,          NA,          NA,          NA,          NA,          NA
