AW,PC,AWPC,DAW,DPC,DAWPC
          NA,1.0000000000,1.0000000000,0.0043442911,0.1279327823,0.0001134346
          NA,          NA,1.0000000000,0.0044743987,0.0030806360,0.0001663106
          NA,          NA,          NA,0.0206141381,0.1514597197,0.0004563218
          NA,          NA,          NA,          NA,1.0000000000,1.0000000000
          NA,          NA,          NA,          NA,          NA,1.0000000000
          NA,          NA,          NA,          NA,          NA,          NA
